machine_id,temp,vibration,pressure,failure
SIM0699,60.1,1.265,39.7,1
SIM0700,69.39,0.781,30.0,0
SIM0701,86.47,0.235,31.8,0
SIM0702,68.81,0.402,20.54,0
SIM0703,58.6,0.846,27.91,0
SIM0704,71.26,0.938,30.17,0
SIM0705,85.64,0.556,35.48,1
SIM0706,59.31,0.595,28.86,0
SIM0707,60.16,0.838,31.66,0
SIM0708,79.26,0.625,27.04,0
SIM0709,69.12,0.14,36.11,0
SIM0710,80.42,0.304,37.77,0
SIM0711,71.82,0.66,37.62,0
SIM0712,81.12,0.993,35.08,1
SIM0713,58.54,1.129,24.98,0
SIM0714,71.84,0.845,30.97,0
SIM0715,69.26,0.678,32.35,0
SIM0716,56.19,0.835,32.38,0
SIM0717,51.67,0.353,35.49,0
SIM0718,80.91,0.528,44.27,0
SIM0719,67.44,0.3,40.28,0
SIM0720,58.71,0.155,28.58,0
SIM0721,70.75,0.693,39.41,0
SIM0722,86.66,0.643,39.16,0
SIM0723,42.35,0.814,29.76,0
SIM0724,52.54,0.766,40.52,0
SIM0725,60.0,0.662,33.96,0
SIM0726,91.0,0.769,25.84,0
SIM0727,75.67,0.565,37.96,0
SIM0728,81.98,0.72,36.41,1
SIM0729,57.18,0.333,33.52,0
SIM0730,57.45,0.706,34.76,0
SIM0731,77.82,0.807,30.33,0
SIM0732,72.76,0.352,38.97,0
SIM0733,79.13,0.598,34.72,0
SIM0734,69.56,0.368,36.08,0
SIM0735,75.62,0.401,37.32,0
SIM0736,74.06,0.198,27.5,0
SIM0737,82.11,1.01,29.19,1
SIM0738,82.49,0.942,20.64,0
SIM0739,50.94,0.763,38.67,0
SIM0740,42.79,1.251,27.12,0
SIM0741,85.02,0.516,35.86,0
SIM0742,87.44,1.611,37.41,0
SIM0743,58.73,0.503,38.92,0
SIM0744,47.82,0.667,27.17,0
SIM0745,73.29,0.445,34.58,0
SIM0746,84.1,0.707,45.86,0
SIM0747,95.37,0.864,46.14,0
SIM0748,78.71,0.541,41.42,0
SIM0749,67.17,1.184,37.19,0
SIM0750,60.39,0.661,28.47,0
SIM0751,72.15,0.672,39.67,0
SIM0752,68.11,0.271,33.97,0
SIM0753,58.8,0.722,38.64,0
SIM0754,98.63,0.534,30.89,0
SIM0755,95.21,0.373,33.88,0
SIM0756,86.77,0.316,36.07,0
SIM0757,60.03,1.488,36.6,0
SIM0758,83.12,0.49,38.21,0
SIM0759,80.32,0.085,31.24,0
SIM0760,77.75,0.343,26.27,0
SIM0761,88.25,0.562,45.56,0
SIM0762,80.26,0.766,51.18,0
SIM0763,81.62,0.769,37.91,0
SIM0764,80.28,0.81,26.39,0
SIM0765,76.43,0.361,29.97,0
SIM0766,48.81,0.696,38.31,0
SIM0767,73.09,0.282,43.72,0
SIM0768,64.77,0.369,27.12,0
SIM0769,55.36,0.268,34.19,0
SIM0770,93.86,0.176,36.27,0
SIM0771,94.48,0.942,40.62,0
SIM0772,89.67,0.814,32.77,1
SIM0773,75.32,0.912,24.84,0
SIM0774,89.56,0.593,39.04,0
SIM0775,72.16,0.844,42.31,0
SIM0776,74.64,0.03,34.46,0
SIM0777,57.78,0.873,37.63,0
SIM0778,77.16,0.64,31.92,0
SIM0779,72.79,0.793,29.5,0
SIM0780,55.07,0.709,41.67,0
SIM0781,71.33,0.244,37.52,0
SIM0782,70.96,0.071,38.19,0
SIM0783,95.37,0.338,44.76,0
SIM0784,83.62,0.772,28.14,0
SIM0785,72.15,0.815,31.41,0
SIM0786,75.23,0.115,36.03,0
SIM0787,72.57,0.246,31.33,0
SIM0788,69.36,0.334,40.09,0
SIM0789,57.93,0.459,33.78,0
SIM0790,70.04,0.117,28.55,0
SIM0791,62.3,0.097,35.43,0
SIM0792,55.75,0.301,36.11,0
SIM0793,78.65,0.609,41.08,0
SIM0794,77.09,0.179,37.56,0
SIM0795,48.77,0.541,38.0,0
SIM0796,70.41,0.94,37.08,0
SIM0797,84.94,0.137,33.78,0
SIM0798,85.77,0.51,30.34,0
SIM0799,85.34,0.928,36.88,0
SIM0800,72.51,0.438,32.83,0
SIM0801,61.01,0.385,45.98,0
SIM0802,57.91,0.976,43.72,0
SIM0803,76.48,0.476,39.11,0
SIM0804,76.93,0.956,37.46,0
SIM0805,88.74,0.726,34.43,0
SIM0806,86.3,0.463,26.8,1
SIM0807,70.28,0.743,33.59,0
SIM0808,55.83,0.689,35.66,0
SIM0809,67.85,0.927,36.49,0
SIM0810,74.82,0.394,38.05,0
SIM0811,69.37,0.594,40.99,0
SIM0812,64.49,0.559,30.5,0
SIM0813,75.29,0.819,30.56,0
SIM0814,65.45,0.231,44.43,0
SIM0815,63.84,0.926,40.01,0
SIM0816,76.05,0.739,32.46,0
SIM0817,66.77,0.132,34.3,0
SIM0818,75.17,0.991,34.33,0
SIM0819,75.55,1.34,35.21,0
SIM0820,57.19,0.921,38.07,0
SIM0821,65.74,1.065,51.48,0
SIM0822,90.69,0.609,36.23,0
SIM0823,56.89,0.03,39.31,0
SIM0824,44.48,0.03,24.04,0
SIM0825,47.8,0.667,31.85,0
SIM0826,72.38,0.379,42.99,0
SIM0827,72.4,0.269,37.62,0
SIM0828,70.47,0.559,18.0,0
SIM0829,87.78,0.789,39.38,0
SIM0830,40.0,0.086,47.47,0
SIM0831,77.15,0.427,22.03,0
SIM0832,92.3,1.093,44.88,0
SIM0833,57.34,0.214,18.0,0
SIM0834,67.06,0.876,41.1,0
SIM0835,62.21,0.415,34.94,0
SIM0836,60.37,0.766,19.73,0
SIM0837,67.76,0.953,37.9,0
SIM0838,90.56,0.832,42.48,1
SIM0839,95.89,0.889,37.37,0
SIM0840,67.63,0.188,38.8,0
SIM0841,96.77,0.959,32.32,0
SIM0842,72.46,0.29,22.9,0
SIM0843,94.8,0.668,39.5,0
SIM0844,70.79,0.668,46.37,0
SIM0845,73.7,0.745,42.34,0
SIM0846,76.75,0.695,22.08,0
SIM0847,112.0,0.293,25.15,0
SIM0848,83.07,0.121,29.5,0
SIM0849,62.81,0.877,24.65,0
SIM0850,84.6,0.643,35.29,0
SIM0851,67.3,0.971,37.56,0
SIM0852,65.63,0.565,25.7,0
SIM0853,83.81,0.102,40.05,0
SIM0854,72.4,0.908,38.91,0
SIM0855,75.62,0.454,31.44,0
SIM0856,72.18,0.696,33.88,0
SIM0857,76.38,0.36,22.33,0
SIM0858,77.52,1.139,32.84,1
SIM0859,46.82,0.282,35.05,0
SIM0860,80.67,0.465,36.1,0
SIM0861,59.23,0.617,37.46,0
SIM0862,53.25,0.209,36.59,0
SIM0863,71.24,0.692,33.28,0
SIM0864,73.09,1.128,36.86,0
SIM0865,62.98,0.413,41.51,0
SIM0866,82.8,0.714,34.38,0
SIM0867,54.55,0.03,37.06,0
SIM0868,66.71,0.567,33.79,0
SIM0869,64.4,0.474,30.8,0
SIM0870,71.39,0.302,38.4,0
SIM0871,75.63,0.948,31.39,0
SIM0872,58.9,0.469,37.51,0
SIM0873,81.42,0.52,35.18,0
SIM0874,72.82,0.452,33.02,0
SIM0875,47.4,0.03,32.87,0
SIM0876,46.54,0.195,31.7,0
SIM0877,71.84,0.907,24.3,0
SIM0878,69.13,0.03,37.49,0
SIM0879,70.66,0.319,36.51,0
SIM0880,71.64,0.444,40.52,0
SIM0881,74.93,1.173,31.55,0
SIM0882,84.32,0.841,47.32,0
SIM0883,57.56,0.391,32.53,0
SIM0884,56.76,1.024,29.31,0
SIM0885,57.79,0.328,28.54,0
SIM0886,75.76,0.923,23.73,0
SIM0887,88.18,0.118,44.96,0
SIM0888,66.39,0.945,43.91,0
SIM0889,40.0,0.442,38.9,0
SIM0890,49.85,0.23,29.18,0
SIM0891,61.17,0.506,46.77,0
SIM0892,64.75,0.674,32.71,0
SIM0893,66.69,0.412,33.25,0
SIM0894,72.5,0.768,44.34,0
SIM0895,67.95,0.382,39.28,0
SIM0896,85.64,0.791,49.31,0
SIM0897,63.21,0.73,36.62,0
SIM0898,60.79,0.559,32.42,0
SIM0899,78.23,0.43,31.02,0
SIM0900,52.04,0.632,22.99,0
SIM0901,77.07,0.767,33.19,0
SIM0902,73.33,1.281,42.44,0
SIM0903,70.08,0.899,38.89,0
SIM0904,92.65,0.912,35.13,0
SIM0905,63.91,1.63,28.53,0
SIM0906,98.78,0.755,36.47,0
SIM0907,69.07,0.745,41.58,0
SIM0908,55.4,0.819,37.8,0
SIM0909,72.91,0.237,36.08,0
SIM0910,58.01,0.429,29.82,0
SIM0911,62.23,0.408,40.64,0
SIM0912,77.16,0.8,18.0,0
SIM0913,79.22,0.521,37.49,0
SIM0914,63.91,0.627,51.71,0
SIM0915,84.84,0.95,25.2,0
SIM0916,87.05,0.873,33.43,1
SIM0917,90.67,0.525,34.95,0
SIM0918,78.88,0.352,31.99,0
SIM0919,89.72,0.966,41.74,0
SIM0920,47.55,0.843,38.07,0
SIM0921,67.87,0.034,35.99,1
SIM0922,60.73,0.474,40.18,0
SIM0923,73.55,0.636,35.11,0
SIM0924,64.57,0.845,55.67,0
SIM0925,69.84,0.889,35.98,0
SIM0926,96.47,0.677,36.27,0
SIM0927,69.79,0.779,23.88,0
SIM0928,77.38,0.602,31.47,0
SIM0929,68.98,0.351,42.46,0
SIM0930,72.98,0.491,26.32,0
SIM0931,72.08,0.586,20.98,0
SIM0932,77.83,0.568,35.21,0
SIM0933,87.15,0.03,43.91,0
SIM0934,93.42,0.445,35.28,0
SIM0935,76.03,0.599,32.82,1
SIM0936,79.66,0.484,22.92,0
SIM0937,57.04,0.496,37.94,0
SIM0938,70.86,0.746,39.3,0
SIM0939,84.22,0.213,23.42,0
SIM0940,83.26,0.03,42.37,0
SIM0941,74.75,0.462,39.98,0
SIM0942,83.52,0.84,42.36,0
SIM0943,78.38,1.154,38.79,1
SIM0944,87.6,0.846,39.25,0
SIM0945,75.76,0.081,38.38,0
SIM0946,67.38,0.501,40.65,0
SIM0947,76.37,0.667,23.18,0
SIM0948,40.0,0.64,25.24,0
SIM0949,76.98,0.763,30.22,0
SIM0950,40.0,0.268,34.16,0
SIM0951,49.59,0.602,37.52,0
SIM0952,77.87,0.723,37.11,0
SIM0953,78.21,0.861,42.26,0
SIM0954,56.89,0.306,42.47,0
SIM0955,62.74,0.463,29.33,0
SIM0956,89.82,0.03,36.55,0
SIM0957,65.71,0.369,29.49,0
SIM0958,101.16,0.402,33.78,0
SIM0959,71.98,0.233,37.09,0
SIM0960,77.3,0.636,18.0,0
SIM0961,93.02,0.561,50.67,0
SIM0962,73.7,0.03,38.68,0
SIM0963,58.97,0.653,31.13,0
SIM0964,70.57,0.264,47.53,0
SIM0965,71.54,0.745,32.74,0
SIM0966,54.26,0.144,35.86,0
SIM0967,68.67,0.59,31.83,0
SIM0968,62.35,0.484,45.74,0
SIM0969,84.02,0.683,34.32,0
SIM0970,72.45,0.622,35.97,0
SIM0971,68.32,0.493,42.82,1
SIM0972,70.62,0.058,38.8,0
SIM0973,74.9,0.078,34.65,0
SIM0974,80.02,0.381,42.22,0
SIM0975,59.0,0.577,51.5,0
SIM0976,58.46,0.373,37.06,0
SIM0977,86.36,0.793,35.76,0
SIM0978,66.64,0.485,36.11,0
SIM0979,53.58,0.252,43.52,0
SIM0980,77.77,0.485,31.11,0
SIM0981,78.02,0.657,33.19,0
SIM0982,52.1,0.69,25.01,0
SIM0983,74.98,1.219,27.3,0
SIM0984,81.56,0.353,31.63,0
SIM0985,76.87,0.555,34.64,0
SIM0986,80.22,0.725,46.5,0
SIM0987,53.74,0.572,38.48,0
SIM0988,76.3,0.41,29.07,0
SIM0989,68.07,0.053,30.27,0
SIM0990,65.72,0.406,43.94,0
SIM0991,83.32,0.215,42.32,0
SIM0992,91.23,0.03,35.18,0
SIM0993,95.33,0.309,32.12,0
SIM0994,89.09,0.224,42.31,0
SIM0995,70.57,0.778,28.54,0
SIM0996,76.59,0.784,37.55,0
SIM0997,81.97,0.273,49.77,0
SIM0998,73.58,0.492,36.33,0
SIM0999,73.7,0.03,29.96,0
SIM1000,82.71,0.412,37.67,0
SIM1001,71.23,0.716,31.94,0
SIM1002,62.52,0.86,25.94,0
SIM1003,66.61,0.338,39.56,0
SIM1004,80.24,0.938,42.27,0
SIM1005,72.04,0.065,32.98,0
SIM1006,76.42,0.156,32.55,0
SIM1007,80.71,0.821,28.75,0
SIM1008,67.13,1.148,34.03,0
SIM1009,81.83,0.748,31.34,0
SIM1010,76.92,0.566,28.43,0
SIM1011,55.95,0.03,47.3,0
SIM1012,90.75,0.03,38.03,0
SIM1013,65.49,0.624,38.72,0
SIM1014,50.48,0.458,40.74,0
SIM1015,58.41,0.204,40.01,0
SIM1016,58.73,0.602,32.31,0
SIM1017,72.68,0.619,36.77,0
SIM1018,68.44,0.901,33.25,0
SIM1019,67.62,0.626,37.85,0
SIM1020,80.06,0.998,37.22,0
SIM1021,76.42,0.583,32.51,0
SIM1022,76.11,0.541,26.36,0
SIM1023,77.33,0.942,35.95,0
SIM1024,80.01,0.247,33.67,0
SIM1025,44.6,1.537,22.71,0
SIM1026,67.26,0.708,38.3,0
SIM1027,43.66,0.709,41.27,0
SIM1028,72.47,0.759,51.43,0
SIM1029,71.94,1.218,32.46,0
SIM1030,85.59,0.849,31.5,0
SIM1031,87.44,0.034,27.79,0
SIM1032,74.64,1.057,36.36,0
SIM1033,65.5,0.464,36.32,0
SIM1034,78.31,0.616,29.73,0
SIM1035,65.14,0.145,33.86,0
SIM1036,71.98,0.759,22.14,0
SIM1037,84.82,0.359,41.02,0
SIM1038,64.75,0.614,29.99,0
SIM1039,82.47,0.483,34.77,0
SIM1040,80.81,1.235,25.73,0
SIM1041,59.59,1.254,31.21,0
SIM1042,84.66,0.596,33.18,0
SIM1043,81.08,0.602,34.93,0
SIM1044,73.33,0.453,38.12,0
SIM1045,62.09,0.956,44.35,0
SIM1046,60.83,0.468,39.76,0
SIM1047,65.01,0.437,41.25,0
SIM1048,79.05,0.913,44.4,0
SIM1049,59.58,0.397,38.7,0
SIM1050,77.69,0.567,34.76,0
SIM1051,55.86,0.042,41.56,0
SIM1052,69.35,0.819,41.97,0
SIM1053,73.43,1.24,39.22,1
SIM1054,103.79,0.825,25.54,1
SIM1055,54.09,1.077,29.53,0
SIM1056,91.14,0.292,33.21,0
SIM1057,73.95,0.66,40.07,0
SIM1058,77.35,0.259,34.86,0
SIM1059,73.54,0.503,42.39,0
SIM1060,77.78,0.843,43.55,0
SIM1061,70.0,0.615,42.79,0
SIM1062,90.9,0.1,42.84,0
SIM1063,66.07,0.133,28.26,0
SIM1064,86.72,0.11,38.14,0
SIM1065,63.62,0.747,31.05,0
SIM1066,71.22,1.282,24.28,0
SIM1067,58.06,1.043,33.13,0
SIM1068,77.92,0.03,43.61,0
SIM1069,90.79,1.063,37.99,0
SIM1070,70.99,0.898,48.12,0
SIM1071,69.44,0.055,36.15,0
SIM1072,57.51,0.477,50.91,0
SIM1073,69.02,0.952,36.15,0
SIM1074,51.29,0.767,35.15,0
SIM1075,60.13,0.135,26.68,0
SIM1076,74.95,0.788,42.22,0
SIM1077,89.15,0.03,31.74,0
SIM1078,108.52,0.504,30.79,1
SIM1079,64.37,0.967,43.33,0
SIM1080,90.66,0.586,42.53,0
SIM1081,75.17,0.41,42.36,0
SIM1082,70.03,0.882,32.65,0
SIM1083,77.62,0.911,34.67,0
SIM1084,72.8,1.025,34.61,0
SIM1085,73.44,0.877,40.09,0
SIM1086,66.69,0.948,45.1,0
SIM1087,53.82,0.829,37.39,0
SIM1088,51.93,0.67,47.84,0
SIM1089,80.49,0.61,40.83,0
SIM1090,68.4,0.499,33.47,0
SIM1091,64.25,0.168,40.39,0
SIM1092,72.11,0.255,46.09,0
SIM1093,82.33,0.484,47.99,0
SIM1094,74.34,0.662,42.71,0
SIM1095,63.47,1.07,35.17,0
SIM1096,87.94,0.566,33.59,1
SIM1097,92.53,0.921,38.74,1
SIM1098,78.43,0.947,45.88,0
SIM1099,84.66,0.501,37.82,0
SIM1100,88.15,0.782,37.95,0
SIM1101,86.69,0.497,35.33,0
SIM1102,79.98,1.03,32.87,0
SIM1103,79.78,0.796,33.95,1
SIM1104,78.76,0.175,35.88,0
SIM1105,57.73,0.635,46.17,0
SIM1106,81.11,1.14,33.44,0
SIM1107,54.37,0.518,35.34,0
SIM1108,61.67,0.732,29.38,0
SIM1109,88.95,0.766,39.66,0
SIM1110,82.92,0.228,43.88,0
SIM1111,91.34,0.754,45.56,0
SIM1112,68.47,0.106,36.32,0
SIM1113,57.02,0.367,38.73,0
SIM1114,68.87,0.946,34.0,0
SIM1115,73.33,0.701,38.43,0
SIM1116,73.03,0.476,37.04,0
SIM1117,86.74,0.732,35.38,0
SIM1118,67.3,0.56,35.9,0
SIM1119,76.58,0.584,37.94,0
SIM1120,59.15,0.803,33.09,0
SIM1121,77.85,0.333,33.42,0
SIM1122,72.04,0.594,46.1,1
SIM1123,62.25,0.474,52.62,1
SIM1124,68.93,0.041,27.17,0
SIM1125,69.61,0.267,26.81,0
SIM1126,68.49,1.113,28.78,0
SIM1127,95.03,0.711,34.33,0
SIM1128,70.72,0.13,40.82,0
SIM1129,68.83,0.056,38.84,0
SIM1130,44.73,0.542,36.12,0
SIM1131,60.38,1.111,38.44,0
SIM1132,68.58,0.517,30.5,0
SIM1133,63.08,1.024,33.41,0
SIM1134,89.96,0.7,34.87,0
SIM1135,69.86,0.74,24.7,0
SIM1136,88.75,0.126,27.45,0
SIM1137,72.8,0.899,27.71,0
SIM1138,72.48,0.466,39.97,0
SIM1139,70.85,0.873,36.59,0
SIM1140,72.05,0.303,38.97,0
SIM1141,94.34,0.64,23.04,0
SIM1142,41.85,0.7,25.36,0
SIM1143,45.98,0.528,39.31,0
SIM1144,64.94,0.718,18.0,0
SIM1145,72.19,0.489,42.96,0
SIM1146,80.97,0.359,23.15,0
SIM1147,78.15,1.126,40.48,1
SIM1148,67.0,0.937,29.22,0
SIM1149,85.25,0.321,41.82,0
SIM1150,85.39,0.773,55.85,0
SIM1151,74.39,0.327,20.22,0
SIM1152,84.51,0.177,39.52,0
SIM1153,75.54,0.931,23.25,0
SIM1154,64.7,0.03,37.77,0
SIM1155,81.07,0.895,33.66,0
SIM1156,73.44,0.494,35.84,0
SIM1157,72.02,0.508,29.07,0
SIM1158,91.15,0.719,40.07,0
SIM1159,40.14,0.778,25.59,0
SIM1160,53.57,0.299,43.07,0
SIM1161,56.57,0.824,32.34,0
SIM1162,67.28,0.619,25.88,0
SIM1163,68.69,0.153,45.37,0
SIM1164,52.4,0.522,34.56,0
SIM1165,59.19,1.05,47.4,0
SIM1166,60.81,1.15,42.94,0
SIM1167,103.95,0.824,29.81,1
SIM1168,95.42,0.175,34.45,0
SIM1169,66.65,0.747,35.79,0
SIM1170,67.27,0.869,44.92,0
SIM1171,57.06,0.827,37.84,0
SIM1172,47.19,0.847,36.15,0
SIM1173,70.48,0.704,33.7,0
SIM1174,59.03,0.555,34.67,0
SIM1175,70.9,0.373,43.48,0
SIM1176,51.2,0.03,35.02,0
SIM1177,62.09,0.695,32.43,0
SIM1178,73.93,0.643,31.33,0
SIM1179,76.76,0.77,31.4,0
SIM1180,77.43,0.125,25.89,0
SIM1181,54.83,0.799,30.12,0
SIM1182,83.11,1.279,44.74,0
SIM1183,61.6,0.607,33.66,0
SIM1184,80.23,0.559,39.58,0
SIM1185,71.86,0.685,18.89,0
SIM1186,54.11,1.271,38.69,0
SIM1187,67.89,0.232,33.95,0
SIM1188,76.75,0.649,31.87,0
SIM1189,79.97,0.308,36.18,0
SIM1190,70.17,0.394,31.78,0
SIM1191,91.91,0.563,21.19,0
SIM1192,85.1,1.038,40.99,0
SIM1193,68.66,1.192,36.58,0
SIM1194,81.75,0.732,32.96,0
SIM1195,97.14,0.452,28.72,0
SIM1196,97.49,1.428,25.45,1
SIM1197,56.04,0.435,36.46,0
SIM1198,59.96,0.386,45.49,0
SIM1199,91.3,0.03,36.32,1
SIM1200,58.24,1.055,26.01,0
SIM1201,54.81,0.909,36.46,0
SIM1202,65.68,1.402,34.65,1
SIM1203,77.46,0.108,40.62,0
SIM1204,70.67,1.076,38.94,0
SIM1205,63.54,0.604,18.0,0
SIM1206,63.24,0.854,38.54,1
SIM1207,62.74,0.03,28.48,0
SIM1208,60.57,1.079,25.76,0
SIM1209,101.66,0.847,33.77,1
SIM1210,75.87,0.567,37.67,0
SIM1211,83.53,0.799,24.34,0
SIM1212,65.64,0.32,39.58,0
SIM1213,69.58,0.383,39.96,0
SIM1214,62.72,0.422,35.31,0
SIM1215,40.0,0.03,29.36,0
SIM1216,54.09,0.873,28.63,0
SIM1217,48.46,0.985,41.67,0
SIM1218,42.75,0.342,25.18,0
SIM1219,56.46,0.698,41.92,0
SIM1220,89.22,0.49,33.93,0
SIM1221,71.42,0.692,34.38,0
SIM1222,88.78,0.367,23.9,0
SIM1223,77.34,0.28,34.05,0
SIM1224,82.17,0.938,38.99,1
SIM1225,60.29,0.558,26.31,0
SIM1226,78.81,1.268,38.24,0
SIM1227,81.47,0.596,35.58,0
SIM1228,64.5,0.265,30.82,0
SIM1229,79.27,0.997,40.56,0
SIM1230,79.36,0.794,20.69,0
SIM1231,64.86,0.827,37.25,0
SIM1232,57.4,0.985,45.53,0
SIM1233,56.61,0.358,44.36,0
SIM1234,73.12,0.537,37.53,0
SIM1235,76.25,0.522,33.04,0
SIM1236,61.7,0.141,30.87,0
SIM1237,72.35,0.49,33.03,0
SIM1238,79.42,1.034,38.53,0
SIM1239,80.04,0.661,29.75,0
SIM1240,92.17,0.122,39.92,0
SIM1241,88.6,0.051,48.87,0
SIM1242,58.98,1.146,34.6,0
SIM1243,93.89,0.549,26.26,0
SIM1244,65.1,0.36,26.26,0
SIM1245,85.58,0.487,40.05,0
SIM1246,72.88,0.078,34.61,0
SIM1247,66.64,1.064,40.7,0
SIM1248,48.5,0.446,31.53,0
SIM1249,69.77,1.045,40.4,0
SIM1250,51.73,0.598,33.97,0
SIM1251,84.57,1.066,30.24,0
SIM1252,91.72,0.667,32.39,0
SIM1253,61.64,0.87,27.22,0
SIM1254,75.93,0.824,47.93,0
SIM1255,62.57,0.792,34.37,1
SIM1256,63.83,0.698,39.19,0
SIM1257,82.07,0.501,31.51,0
SIM1258,71.5,1.231,28.16,0
SIM1259,94.62,0.272,33.48,0
SIM1260,65.73,0.581,42.16,0
SIM1261,84.99,0.585,31.62,0
SIM1262,73.27,0.717,29.34,1
SIM1263,82.35,0.434,36.01,0
SIM1264,66.19,0.687,38.24,0
SIM1265,71.36,0.523,45.68,0
SIM1266,70.5,0.042,37.3,0
SIM1267,61.13,0.583,39.19,0
SIM1268,80.61,0.206,39.68,0
SIM1269,80.45,0.03,27.51,0
SIM1270,79.72,0.627,28.74,0
SIM1271,91.98,0.746,27.95,0
SIM1272,90.84,0.759,26.34,0
SIM1273,67.13,0.773,40.17,0
SIM1274,76.85,0.03,36.89,0
SIM1275,63.89,0.117,35.52,0
SIM1276,72.3,1.251,18.15,0
SIM1277,64.2,0.224,48.36,0
SIM1278,93.06,0.788,29.19,0
SIM1279,76.73,0.346,48.34,0
SIM1280,69.17,0.607,25.58,0
SIM1281,87.52,0.365,29.72,0
SIM1282,43.78,0.771,20.68,0
SIM1283,45.82,0.627,37.35,0
SIM1284,82.35,0.428,27.84,0
SIM1285,72.79,0.223,28.03,0
SIM1286,75.26,0.671,26.08,0
SIM1287,54.76,0.168,40.05,0
SIM1288,71.7,0.725,39.62,0
SIM1289,98.05,1.473,46.78,1
SIM1290,82.71,1.039,30.54,0
SIM1291,74.21,0.824,36.42,0
SIM1292,66.29,0.551,26.62,0
SIM1293,66.87,0.03,32.82,0
SIM1294,44.32,0.13,31.63,0
SIM1295,75.35,1.016,38.02,0
SIM1296,82.99,0.311,41.61,0
SIM1297,51.52,0.342,41.44,0
SIM1298,63.4,0.524,29.52,0
SIM1299,56.95,0.219,41.49,0
SIM1300,59.45,0.163,34.71,0
SIM1301,72.7,0.563,32.89,0
SIM1302,44.9,0.277,30.39,0
SIM1303,79.99,0.328,31.36,0
SIM1304,81.8,0.314,46.33,0
SIM1305,68.74,0.758,37.0,0
SIM1306,40.0,0.501,36.13,0
SIM1307,59.05,0.519,33.3,0
SIM1308,88.03,0.783,50.9,1
SIM1309,40.0,0.532,43.48,0
SIM1310,67.48,0.485,30.31,0
SIM1311,56.66,0.74,33.22,0
SIM1312,82.46,0.807,33.61,0
SIM1313,63.22,0.53,35.95,0
SIM1314,77.25,0.607,30.44,0
SIM1315,79.35,0.314,37.85,1
SIM1316,95.87,0.287,44.44,1
SIM1317,69.36,0.842,26.46,0
SIM1318,76.89,0.731,27.67,0
SIM1319,52.69,0.735,31.86,0
SIM1320,87.48,0.675,32.16,0
SIM1321,62.11,0.596,47.99,0
SIM1322,64.71,0.817,41.51,0
SIM1323,71.71,0.898,41.14,0
SIM1324,51.68,0.89,33.28,0
SIM1325,74.97,0.546,33.14,0
SIM1326,84.58,1.052,25.56,0
SIM1327,75.81,0.658,40.08,0
SIM1328,51.34,0.795,38.19,0
SIM1329,70.39,0.676,43.36,0
SIM1330,81.65,0.664,33.63,1
SIM1331,47.59,0.33,34.08,0
SIM1332,58.03,0.818,36.11,0
SIM1333,83.4,1.547,40.8,0
SIM1334,75.51,0.453,25.44,0
SIM1335,77.36,0.604,39.78,0
SIM1336,96.17,0.428,34.87,0
SIM1337,78.09,0.414,28.12,1
SIM1338,80.55,1.105,21.45,1
SIM1339,107.24,0.351,34.11,0
SIM1340,69.22,0.419,44.41,0
SIM1341,61.63,0.04,45.89,0
SIM1342,77.56,0.322,37.31,0
SIM1343,77.71,0.03,47.75,0
SIM1344,65.15,0.795,34.72,0
SIM1345,58.58,1.532,41.2,0
SIM1346,102.03,0.455,32.07,0
SIM1347,76.25,0.03,31.66,0
SIM1348,62.48,0.886,30.6,0
SIM1349,83.91,0.333,21.61,0
SIM1350,70.58,1.022,43.37,0
SIM1351,68.71,0.484,30.83,0
SIM1352,79.31,0.365,29.79,0
SIM1353,55.21,0.519,27.33,0
SIM1354,76.58,0.838,33.67,0
SIM1355,96.87,0.503,46.46,0
SIM1356,78.06,0.411,48.61,0
SIM1357,67.11,0.512,24.2,0
SIM1358,65.41,0.148,32.7,0
SIM1359,66.67,0.715,28.28,0
SIM1360,68.7,0.03,41.42,0
SIM1361,67.09,0.429,36.86,0
SIM1362,83.91,0.838,30.86,0
SIM1363,49.47,0.683,35.47,0
SIM1364,83.21,0.781,31.9,0
SIM1365,67.06,0.558,45.49,0
SIM1366,76.9,0.978,38.56,0
SIM1367,57.35,0.894,39.35,0
SIM1368,89.27,0.732,18.0,0
SIM1369,88.19,0.895,34.57,0
SIM1370,84.47,0.835,48.54,0
SIM1371,52.31,0.431,43.62,0
SIM1372,82.78,0.123,22.99,0
SIM1373,77.26,0.723,32.96,0
SIM1374,51.13,0.766,27.19,0
SIM1375,71.68,0.951,46.12,0
SIM1376,76.74,0.262,36.59,0
SIM1377,79.23,0.272,30.01,0
SIM1378,74.3,0.736,35.22,0
SIM1379,75.79,0.556,18.05,0
SIM1380,91.16,0.03,27.95,0
SIM1381,87.94,0.708,35.24,0
SIM1382,40.0,0.03,40.5,0
SIM1383,67.87,0.259,22.38,0
SIM1384,69.86,1.04,32.52,0
SIM1385,49.22,1.2,41.56,0
SIM1386,73.22,0.167,25.57,0
SIM1387,88.23,0.468,36.49,0
SIM1388,57.87,0.594,35.43,0
SIM1389,76.37,1.186,46.14,0
SIM1390,60.09,0.412,33.5,0
SIM1391,63.27,0.418,33.88,0
SIM1392,91.21,1.107,40.56,1
SIM1393,64.95,0.453,26.38,0
SIM1394,78.01,0.826,33.56,0
SIM1395,47.67,0.078,32.04,0
SIM1396,96.21,0.522,34.1,0
SIM1397,79.83,0.03,40.51,0
